ticker,code,price,day_change_pct,ytd_pct,date
AIICO,AIICO,4.17,-0.025699999999999997,1.9161000000000001,12/09
CORNERST,CORNERST,7.33,,1.0361,12/09
DANGSUGAR,DANGSUGAR,60,,0.8462000000000001,12/09
NESTLE,NESTLE,1870,,1.1371,12/09
OKOMUOIL,OKOMUOIL,1020,,1.2973,12/09
PRESCO,PRESCO,1480,,2.1158,12/09
TOTAL,TOTALNG,640,,-0.08310000000000001,12/09
UBA,UBA,48.7,0.0125,0.4324,12/09
ZENITH,ZENITHBANK,68,0.0149,0.49450000000000005,12/09
MTNN,MTNN,435,,1.175,11/09
GTCO,GTCO,92.65,0.0027,0.6254,11/09
ARADEL,ARADEL,530.2,0.0004,-0.1134,11/09